paper,url,category,type,context
paper1,https://github.com/kermitt2/grobid,code_repository,ref_element,unknown
paper10,https://doi.org/10.1080/08912963.2013.863881,doi,ptr_element,unknown
paper10,https://doi.org/10.5710/AMGH.17.02.2017.3048,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S0012-8252(01)00055-1,doi,ptr_element,unknown
paper10,https://doi.org/10.1017/CBO9781107360150.005,doi,ptr_element,unknown
paper10,https://doi.org/10.1206/3750.2,doi,ptr_element,unknown
paper10,https://doi.org/10.1111/j.1096-3642.2007.00388.x,doi,ptr_element,unknown
paper10,https://doi.org/10.1002/jmor.10606,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S0016-6995(02)00017-7,doi,ptr_element,unknown
paper10,https://doi.org/10.1017/CBO9780511667381.016,doi,ptr_element,unknown
paper10,https://doi.org/10.3989/egeol.40519.194,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S0264-8172(03)00077-1,doi,ptr_element,unknown
paper10,https://doi.org/10.1007/s00114-010-0683-xCoster,doi,ptr_element,unknown
paper10,https://doi.org/10.1029/2008PA001683,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/52301996,other,ptr_element,unknown
paper10,http://dx.doi.org/10.5710/PEAPA.06.05.2016.113,doi,ptr_element,unknown
paper10,http://hdl.handle.net/10088/12847,other,ptr_element,unknown
paper10,https://doi.org/10.1186/1471-2148-12-88,doi,ptr_element,unknown
paper10,https://doi.org/10.1093/molbev/,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/10128982,other,ptr_element,unknown
paper10,https://doi.org/10.2110/pec.95.04.0317,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S0169-5347(98)01457-8,doi,ptr_element,unknown
paper10,http://hdl.handle.net/2246/3576,other,ptr_element,unknown
paper10,https://doi.org/10.1016/S0895-9811(02)00043-3,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S0031-0182(03)00360-2,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/j.jsames.2008.05.006,doi,ptr_element,unknown
paper10,https://doi.org/10.2307/2399084,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/2531525,other,ptr_element,unknown
paper10,https://doi.org/10.2307/1374358,doi,ptr_element,unknown
paper10,https://gallica.bnf.fr/ark:/12148/bpt6k6398040d/f218.item,other,ptr_element,unknown
paper10,https://doi.org/10.1126/science.1194585hoornC,doi,ptr_element,unknown
paper10,https://doi.org/10.1038/ngeo1742,doi,ptr_element,unknown
paper10,https://doi.org/10.1017/S1477201906001908,doi,ptr_element,unknown
paper10,https://www.jstor.org/stable/2999827,other,ptr_element,unknown
paper10,https://doi.org/10.1073/pnas.0701289104,doi,ptr_element,unknown
paper10,https://www.jstor.org/stable/1304193,other,ptr_element,unknown
paper10,https://doi.org/10.1016/0040-1951(95)00107-7,doi,ptr_element,unknown
paper10,https://doi.org/10.1126/science.1121380,doi,ptr_element,unknown
paper10,https://doi.org/10.1126/science.aaa9217,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/02724634.1998.10011043,doi,ptr_element,unknown
paper10,https://doi.org/10.1073/pnas.96.23.13235,doi,ptr_element,unknown
paper10,https://doi.org/10.1017/CBO9780511667381.018,doi,ptr_element,unknown
paper10,https://doi.org/10.1029/JC082i027p03843,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/08912963.2014.967766,doi,ptr_element,unknown
paper10,https://doi.org/10.1007/s10914-016-9340-2,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/08912963.2017.1327529,doi,ptr_element,unknown
paper10,https://doi.org/10.22179/REVMACN.4.9,doi,ptr_element,unknown
paper10,https://doi.org/10.22179/REVMACN.8.356,doi,ptr_element,unknown
paper10,https://doi.org/10.1029/97TC00495,doi,ptr_element,unknown
paper10,https://gallica.bnf.fr/ark,other,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/5512067,other,ptr_element,unknown
paper10,https://doi.org/10.1016/j.epsl.2005.03.027,doi,ptr_element,unknown
paper10,https://doi.org/10.1086/628950,doi,ptr_element,unknown
paper10,https://doi.org/10.2307/j.ctt22726mc.16,doi,ptr_element,unknown
paper10,https://doi.org/10.1007/BF01464364,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/j.epsl.2010.09.010,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/j.cub.2014.03.016,doi,ptr_element,unknown
paper10,https://doi.org/10.1038/28603,doi,ptr_element,unknown
paper10,https://doi.org/10.1023/A:1011328616715,doi,ptr_element,unknown
paper10,http://hdl.handle.net/2246/5893,other,ptr_element,unknown
paper10,https://doi.org/10.1029/90JB02015,doi,ptr_element,unknown
paper10,https://doi.org/10.1130/0016-7606(1979)90,doi,ptr_element,unknown
paper10,https://doi.org/10.1644/11-MAMM-A-176.1,doi,ptr_element,unknown
paper10,https://doi.org/10.1007/978-0-387-78705-3_3,doi,ptr_element,unknown
paper10,https://doi.org/10.1111/j.1463-6409.2010.00431,doi,ptr_element,unknown
paper10,https://doi.org/10.1038/ncomms2299,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/4294618,other,ptr_element,unknown
paper10,http://www.biodiversitylibrary.org/page/4776973,other,ptr_element,unknown
paper10,http://ref.scielo.org/pyk23s,other,ptr_element,unknown
paper10,https://doi.org/10.1080/02724634.2010.522432,doi,ptr_element,unknown
paper10,https://doi.org/10.1371/journal.pone.0048380,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/02724631003618223,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/j.geobios.2012.06.001,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/14772019.2018.1471622,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/08912963.2017.1294168,doi,ptr_element,unknown
paper10,https://doi.org/10.1029/2005TC001882,doi,ptr_element,unknown
paper10,https://doi.org/10.7717/peerj.1717,doi,ptr_element,unknown
paper10,https://doi.org/10.1371/journal.pone.0016525,doi,ptr_element,unknown
paper10,https://doi.org/10.1126/science.1089332,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/23542343,other,ptr_element,unknown
paper10,http://hdl.handle.net/2246/1104,other,ptr_element,unknown
paper10,https://doi.org/10.1073/pnas,doi,ptr_element,unknown
paper10,https://doi.org/10.1038/ncomms2508,doi,ptr_element,unknown
paper10,https://doi.org/10.1111/pala.12147,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/14565643uphamn.s,other,ptr_element,unknown
paper10,https://doi.org/10.4098/AT.arch.99-25,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/j.geobios.2011.02.008,doi,ptr_element,unknown
paper10,https://doi.org/10.1017/CBO9780511667381,doi,ptr_element,unknown
paper10,https://doi.org/10.1206/3769.2vuCetiChm.g,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/55756950,other,ptr_element,unknown
paper10,https://doi.org/,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/02724634.1996.10011317,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S0031-0182(01)00402-3,doi,ptr_element,unknown
paper10,https://doi.org/10.1016/S1251-8050(00)88497-9,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/02724634.2013.804414,doi,ptr_element,unknown
paper10,https://doi.org/10.1080/08912963.2014.883506,doi,ptr_element,unknown
paper10,https://doi.org/10.1007/978-1-4899-0539-0_11,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/2269965,other,ptr_element,unknown
paper10,https://doi.org/10.1093/sysbio/30.1.1,doi,ptr_element,unknown
paper10,https://doi.org/10.2992/0097-4463,doi,ptr_element,unknown
paper10,https://doi.org/10.1093/sysbio/44.4.482,doi,ptr_element,unknown
paper10,https://doi.org/10.1093/sysbio/46.2.332,doi,ptr_element,unknown
paper10,http://hdl.handle.net/2246/2350,other,ptr_element,unknown
paper10,https://doi.org/10.2307/1375874,doi,ptr_element,unknown
paper10,https://biodiversitylibrary.org/page/10587957,other,ptr_element,unknown
paper10,http://www.biodiversitylibrary.org/page/4780786,other,ptr_element,unknown
paper10,https://doi.org/10.1038/365434a0,doi,ptr_element,unknown
paper10,https://doi.org/10.1038/,doi,ptr_element,unknown
paper10,https://github.com/kermitt2/grobid,code_repository,ref_element,unknown
paper10,http://www.bioone.org,other,text_extracted,body_text
paper10,http://zoobank.org,other,text_extracted,body_text
paper10,https://doi,other,text_extracted,body_text
paper10,https://doi.org/10.5962/bhl.title.77348,doi,text_extracted,body_text
paper10,https://biodiversitylibrary.org/page/4497426,other,text_extracted,body_text
paper10,https://doi.org/10.1130/G19800.1,doi,text_extracted,body_text
paper10,https://doi.org/10.22179/REVMACN.19.533,doi,text_extracted,body_text
paper10,https://doi.org/10.1080/08912963.2018.1506778,doi,text_extracted,body_text
paper10,https://doi.org/10.1002/jmor.1031,doi,text_extracted,body_text
paper10,https://doi.org/10.167,doi,text_extracted,body_text
paper10,http://hdl.handle.net/2246/3250,other,text_extracted,body_text
paper10,https://doi.org/10.1127/pala/2018/0075,doi,text_extracted,body_text
paper10,https://doi.org/10.1038/nature14120,doi,text_extracted,body_text
paper10,https://doi.org/10.1098/rspb.2011.1732,doi,text_extracted,body_text
paper10,https://doi.org/10.1111/j.1096-0031.1994.tb00179.x,doi,text_extracted,body_text
paper10,https://doi.org/10.1007/,doi,text_extracted,body_text
paper10,https://biodiversitylibrary.org/page/45614456,other,text_extracted,body_text
paper10,https://doi.org/10.1073/pnas.0811421106,doi,text_extracted,body_text
paper10,https://doi.org/10.1080/14772019,doi,text_extracted,body_text
paper10,https://doi.org/10.4202/app.00113.2014,doi,text_extracted,body_text
paper2,http://research.calacademy.org/research/ichthyology/catalog/SpeciesByFamily.asp,other,ptr_element,unknown
paper2,https://github.com/kermitt2/grobid,code_repository,ref_element,unknown
paper3,https://github.com/kermitt2/grobid,code_repository,ref_element,unknown
paper3,https://academic.oup.com/zoolinnean/article/157/4/814/2732011,other,text_extracted,body_text
paper4,https://doi.org/10.5962/bhl.title.157964,doi,ptr_element,unknown
paper4,https://doi.org/10.1016/j.jsames.2017.12.017,doi,ptr_element,unknown
paper4,https://doi.org/10.1007/Bf02988412,doi,ptr_element,unknown
paper4,https://doi.org/10.1371/journal.pone.0076202,doi,ptr_element,unknown
paper4,https://doi.org/10.1007/s,doi,ptr_element,unknown
paper4,https://doi.org/10.1007/s10914-016-9353-x,doi,ptr_element,unknown
paper4,https://doi.org/10.1590/1982-0224-20180033,doi,ptr_element,unknown
